Español;Aymara
Acostumbrar;jichunuqtayaña
Acostumbrarse;jichuntaña
Acostumbrarse a hacer alguna cosa;yatintaña
Acostumbrarse uno a permanecer en una casa o en un lugar que no es propio;yatinuqtaña
Acrecentar;Yapt’aña
Acreedor;mayt’iri
Activar;jank’achaña
Actividad;luraña
Activo;q’apha
Acto;Lurawi
acto de arrojar monedas al aire para que las recojan los niños;chawchita
Actual;jichha
Actualidad;Aka pacha
Actualidad;aka
Actualmente;jichha
Acuchillar;kuchillumpi
Acuchillar;Kuchillumpi jununtaña
Acuclillarse;chukuña
Acueducto;Larqa
Acuerdo;amta
Acuerdo de trabajo agrícola entre dos personas;waki
acuerdo o proyecto;amtawi
Acullicar;akhulliña
Acullico;akhulli
Acumular;juk’uchaña
Acumular;tantaña
Acunar;Chhujuña
Acusado;tumpata
Acusar;tumpaña
Acuático;umankiri
Acuático;Uman jakasiri
Acuático;uman
Acuñar;chillpaña
Acá;akana
Acémila;mula
Adaptarse;yatisiña
Adecuado;yächa
Adelantar;nayrt’aña
Adelantarse;nayrst’aña
Adelantarse;Nayrt’aña
Adelante;nayraqata
Adelante;nayräxa
Adelanto;chikat
Adelanto;Chikat qullqi
Adelgazar;juch’usaptayaña
Además;ukampisa
Además;yamasa
Adentrarse;manqhst’aña
Adentro;Manqha
Aderezar;Wakichaña
Adeudar;manunïña
Adherir;achkataña
Adherir;Lip’iyaña
Adhesivo;lip’iyiri
Adicionar;Apxataña
Adicto;arkiri
Adiestrador;yatichsuri
Adiestrar;yatichsuña
Adinerado;Walja qullqini
Adinerarse;qullqichasiña
Aditamento;Yapa
Adivinanza;jamusiña
Adivinar;Amuyaña
Adivinar;jamusiña
Adivinar mediante la coca o naipes;t’aqaña
Adivino;jamuri
adiós;jikisiñkama
Adjetivo;k’achachiri
Administrar;Apnaqaña
Admirable;muspkaya
Admiración;ay
Admiración;Ay saña
Admirar;Muspaña
Admisible;katuqkaya
Admitir;Katuqaña
Adobe;tika
Adobe;ñiq’i
Adobera;tikaña
Adolecer;usunaqaña
adolescente;q’axu
Adonde;kawkiru
Adoptar;uywasiña
Adoptivo;uywata
Adoquinar;taqanaña
Adorable;yupaychañjama
Adorar;yupaychaña
adorar, honrar, santificar;waqaychaña
Adoratorio;yupaychawi
Adormecer;sijsinkiña
Adormecer;ikjayaña
Adormecer;Sijsiqaña
Adormecerse;Sijsiqaña
Adormecerse;ikthapiña
Adormecido;sijsiqata
Adormilarse;Ikì ch’awaña
Adornar;t’ikhaña
Adornar;ón
adornar;k’achachaña
Adornar;Pilluyaña
Adorno de plumas que se usa al contorno de la copa del sombrero en bailes como: chuqila;asanku
adornos de lana para las llamas y ovejas;t’ika
Adosar;qimkatayaña
Adquirir;jikxataña
Adrede;amanuta
Adulador;k’usk’u
Adulador;llunk’u
Adular;k’usk’uña
Adular;llunk’uña
Adulterar;mayjt’ayaña
Adulterio;wachuqa
Adulto;Jilïri jaqi
Adulto;jilïri
Adulzar;muxsachaña
Adulón;jallq’a
Advenedizo;Jaya jaqi
Adverbio;mayjachiri
Adversario;awqa
Adversidad;Chiji
Advertir;amtayaña
Adúltero;Qhinchha
Afable;Munasiri
Afanado;aphana
Afanosamente;aliqapuni
Afear;ñaxuchaña
Afección;jiwkattaña
Afecto;jiwkatta
Afeitar;k’isuña
Afeminado;q’iwsa
Afeminarse algunos hombres;q’iwsaptaña
Afilado;Ari
Afilar;ariptayaña
afilar;arichaña
Afinidad;kikpäña
Afirmar;Chiqaw saña
Afirmar;chiqaw
Aflicción;Llaki
Afligido;llakita
Afligir;Llakisiyaña
Afligirse;llakisiña
Aflojar;phisjtayaña
Aflojar;sulljtayaña
Aflojarse;sulljtaña
Aflorar;phanchhaña
Afluir;aywiña
Afonía;chhajäña
Afortunado;inkini
Afrecho;chhapha
Afrecho;jipi
Afrenta;P’inqa
afta;kankami
afuera;anqa
Afán;qani
Afín;jak’apura
Afónico;chhaja
Agachado;alt’ata
Agachar;Alt’aña
Agacharse;k’umt’aña
Agarra con la mano;Amparampi katthapim
Agarrar;katxaruña
Agarrar;Katthapiña
Agasajar;Uruyaña
Agavillar;Kallchaña
Agigantado;jach’aptata
Agigantar;Jach’aptayaña
Agitar;khiwtaña
Aglomerar;jump’uña
Aglomerarse las personas o los animales a un lugar determinado;chhichhiña
Agobiado;llakini
Agobiar;Aynacht’ayaña
Agolparse;qullthaptaña
Agonizar;jiwänchaña
Agorar;Arjaña
Agorero;arjiri
Agostar;pharsuña
Agostar;wañantaña
Agosto;llumpaqa
Agotable;tukusiri
Agotable;tukstkiri
Agotado;Tukuta
Agotado;Qarita
Agotar;Qariña
Agotar;q’alt’ayaña
Agotar;Tuksuña
Agradable;Jiwaki
Agradecer;yuspajaraña
Agrandar;jach’aptayaña
Agravar;ancht’ayaña
Agraviar;Tuqinuqaña
Agredir;Nuwaña
Agregar;yapaña
Agriar;k’allk’urayaña
Agricultor;yapuchiri
Agricultura;Yapu lurawi
Agricultura;yapu
Agrio;K’allk’u
Agrupar;irthapiña
Agrupar;Tantachaña
Agruparse;tantachasiña
agua;uma
Agua de chuño;jusqu
Aguacero;Jallu
Aguanoso;umallachi
Aguantar;Mutuña
Aguar;thikhiña
Aguardar;Suyaña
Aguayo;awayu
Agudeza;ch’ikhi
Agudo;ari
Aguijonear;mich’iña
Aguijón;mich’i
Aguilucho;Paka qallu
Aguilucho;paka
Aguja;yawri
Aguja;awuja
Aguja mediana;kamputi
Agujerear;p’iyjaña
Agujero;P’iya
agujón;yawri
Agusanarse;laq’untaña
Aguzar;Ariptayaña
Agüero;Wati
Ah! Está bien;Ah! Waliki
Ahhh h, ¿esa papa es tuya ?;Ahhhh, uka ch’uqix jumankiti ?
Ahijado;ichu
Ahijado,;Ichu wawa
Ahitarse;ch’itt’aña
Ahogar;llupjaña
Ahogarse;Saman llupjasiña
Ahogarse;saman
Ahogarse;axskataña
Ahondar;p’iysuña
Ahora;Anchhita
Ahora , tu amiga ¿Dónde está?;Jichhasti , masimax kawkinkisa?
Ahora mismo;jichhpacha
ahora mismo;anchhichha
Ahora ya vivo en la ciudad de La Paz;Jichhax Chukiyawu markan jakxtha
Ahora, ¿tú qué estás haciendo?;Jichhasti, jumax kuns luraskta ?
Ahorcar;jaychkataña
Ahorrar;Imaña
Ahorrativo;imasiri
Ahumar;Jiq’ikipayaña
Ahuyentar;alispayaña
Ahí;ukana
Ahí;ukjana
Aimara;Aymara
Airado;Thithita
Aire;samana
Aire o calor sofocante;jumi
Aislar;Jaljtayaña
Aislar llevar a malas a la persona o animal;alisiña
Aislarse;jithiqxaña
Ajar;q’upjaña
Ajeno;jaqinkiri
ajipa (tubérculo);ajipa
Ajo;ajusa
Ajorca;Chipana
Ajustado;q’ata
Ajustar;Askichaña
Ajusticiar;taripaña
ají;wayk’a
Ají de fideo quiero;Ají de fid iwu muntha
Ají menudo y picante que quema mucho;inu
Ají natural menudo muy picante;chinchi
ají pequeño y muy picante;chinchi
Al doctor anda hermana;Qulliriru saram ku llaka
Al frente;khuykati
Al frente;khurkati
Al frente;khukhati
Al mercado estoy yendo;Qhaturuw sarask tha
Al otro lado del cerro o de la plataforma;khursa
Al que no le gusta el ají o picante;jawari
ala;chhiqha
Alabar;Yupaychaña
Alabar;waqaychaña
Alabar excesivamente a alguien con fines e intereses;q’aq’aña
Alacena;silta
Alacrán;lari
Alacrán;jap’asanka
Alacrán;Alakrana
Alado;chhiqhani
Alardear;Kawki kawkì tukuña
Alargado;wiskalla
Alargado;sayt’uptata
Alargador o cable extensor;waruchiri
Alargar;waruchaña
Alarmante;mulljasiyiri
Alarmar;Mulljaña
alba;alwa
Alba;willjta
Albañil;Uta luriri
Albañil;uta
Albear;Janq’uraña
Albergar;Qurpachaña
Albergue;Qurpachasiñ uta
Albor;Qhasa
Alborada;qhantati
Alborear;qhantatïña
Alborear;Qhantatiña
Alborotador;ch’axwaku
Alborotar;uxtayaña
Alboroto;Ch’axwa
Alborozar;Kusisiyaña
Alborozo;K’uchisiña
Alcahuete;alkawiti
Alcalde;Marka p’iqinchiri
Alcaldía;Marka p’iqinchiri uta
Alcancía;qullqi
Alcancía;Qullqi imaña
Alcanzar;Jikiña
Alcanzar las cosas o productos que se tiene;purt’aña
Alcanzar un niño o algún ser pequeño a alguien;ichkataña
Alcoba;ikiñ
Alcoba;Ikiñ uta
Alcurnia;Jatha
Aleccionar;Yatichaña
Aledaño;jak’ankiri
Alegar;arxataña
Alegrar;k’uchirt’ayaña
Alegrarse del mal o desgracia de otra persona;kusipayaña
Alegre;k’uchiki
Alegre;k’uchi
alegre;kusisita
Alegre y contento;p’iku
Alegría;k’uchisiña
Alegría;q’unchi
Alegría;kusisiña
Alejamiento;jayachaña
Alejar;jayst’ayaña
Alentar;Ch’amachaña
Alero;wayllaqa
Aleta;Chhiqha
Aletear;Chhiqhà jawq’arasiña
Aletear la gallina u otra ave insistentemente cuando se la captura;phuruqiña
Alfa y Beta Centauri;qarwa nayra
Alfabeto;Qillqa
Alfarero;sañu
Alfarero;Sañu luriri
Alfarería;sañu
Alfiler;T’iriña
Alfombra;jant’aku
alfombra;chusi
alfombra para sentarse;jant’aku
Alfombrar;jant’akuña
Alga;llachu
alga lacustre;chanku
algarrobo;thaxu
Algo;mä
Algo;Mä juk’a
Algo más allá de aquel;khuri
Algo poco resistente;yächjata
Algo que se lleva encima del bulto y carga;palta
Algo que se mastica sin esfuerzo;jasa
Algodonal;qhiya
algodón;qhiya
Alguien;khiti
Alguna parte de la piel reseca por el frío;p’asp’a
Alguna superficie cuya plataforma es semiredonda y plana;pallalla
Algunas cosas que se encarga a alguien que lo compre y luego lo traiga de vuelta;iraya
Algún;yaqhipa
Alhaja;quri
Alhaja;Quri yä
Aliento;Samana
Alimentar;liwaña
Alimentar;manq’ayaña
Alimentar;unkaña
Alimento;Manq’a
Alimento demasiado cocido;juchha
Alimento frío que se lleva al campo;ququcha
Alimentos o mates muy dulces;musq’allachi
Alinear;siqiña
Alisar;Llusk’achaña
Alistar;wakichaña
Alivianar;phisnachaña
Aliviar;p’arxtayaña
Aliñar;K’achachaña
Alla está yendo una persona quién es? ¿O es tu papá?;Khayan mä jaqi w saraski khitiraki? Tatamacha?
Allanar;pampachaña
Allegado;jak’apa
Allá;khayana
Allí;Khayana
Alma;Ajayu
Alma;jajayu
Almacén;pirwa
Almanaque;Pacha jakhu
Almanaque;pacha
Almiar de cebada;piluna
almohada;ch’ijma
Almohadilla;phiskhuña
Almuerzo;Chiküru manq’a
Almácigo;Llaxi
Almácigo;qhuchha
Almácigo para toda clase de verduras o árboles ;qucha
Alocado;Luqhi
Alojamiento;Qurpachañ uta
Alojar;qurpachaña
Alojarse | Hospedaje;Qurpachasiña
Alpaca;allpaqa
alpaca (afectuoso);allpaqa
alpaca (afectuoso);allpachu
Alquilar;Iñachaña
Alquiler;Paylla
Altanero;Jach’a jach’à tukuri
Altar;jusnu
Alterar;Mayjt’ayaña
Altercar;tuqintasiña
Alternación;maykipa
Alternar;Maykipachaña
Alternar;maykipaña
altiplano;patapampa
Altiplano;Suni
alto;jach’a
Alto;pata
Alto;Jach’a tansa
Altoparlante;Jach’at arsuri
Altoparlante;jach’at
altramuz;tawri
Alucinar;samktataña
Alucinar;iphiña
Alumbrar;qhanaña
Alumbrar;usuña
Alumbrar;Qhant’ayaña
Alumno;yatiqiri
Alzar;astuña
Alzar;aptaña
Alzar;nukhtaña
Alzar;palltaña
Alzar;astaña
Alzar;irtaña
Alzar en brazos;ichtaña
Amable;munasiri
Amable;quli
Amainar;t’akuña
Amamantar;ñuñuyaña
Amanecer;qhanatataña
amanecer;willjta
Amanecer;paqaraña
Amanecer;qhantati
Amanecer;Qhantatiña
Amanecida;Paqara
Amansar;mansuchaña
Amansarse;mansuptaña
amante;uñt’ata
Amante;Muniri
amar;munaña
Amar;munasiña
Amar tiernamente;waylluña
amaranto;millmi
amaranto;kiwicha
Amargar;jaruña
Amargar;k’allk’uptayaña
Amargo;jaru
Amargo;k’allk’u
Amarillear;q’illuptaña
Amarillento;q’illuptata
amarillo;q’illu
Amarradero;Chinuña
Amarrado;ñach’ata
Amarrar;pichuña
Amarrar;chinuña
Amarrar las patas traseras de la vaca antes de ordeñar la leche;piyalt’aña
Amarrar las patas traseras de la vaca lechera para que no camine y ordeñar fácilmente;piyalaña
Amarrar una servilleta de merienda o los zapatos;chint’aña
amasar;chapuña
Ambicionar;munapayaña
ambicioso;khurkhu
Ambición;munt’aña
Ambiguo;Jan amuyañjama
Ambiguo;jan
Ambos;paypacha
Ambos;purapa
Amedrentar;axsarayaña
Amenaza;Axsaraña
Amigarse;sumaptaña
amigo;yäla
Amigo;yala
Aminorar;juk’arayaña
Amistad;uñt’asiña
Amojonar;qurpanchaña
Amojonar;saywaña
Amolar;mulaña
Amolar;arichaña
Amonestar;juchà
Amonestar;Juchà jaquña
amontonar;phinaña
Amontonar;llujtapiña
Amontonar piedras;qillimkaña
Amontonar ropa u objetos como sea;qullthapiña
Amor;wayllu
Amor;munasiña
Amor seco;anu
Amoratar;q’uyuchaña
Amplio;qayma
ampolla;phusulli
Ampolla;pukullu
Amputación;Khariqaña
Amputar;Khariqaña
Amuleto;illa
amuleto de forma humana o animal para la fertilidad;illa
Amurallar;uyuchaña
Amígdala;Ñaqi
amígdalas;ch’añaqi
amígdalas;ñaqi
Analizable;uñakipkaya
Analizar;Uñakipaña
Ananá;Achupalla
anaranjado;wila q’illu
anaranjado;churi q’illu
Anaranjado;wantura
Anaranjado;larankha
Anaranjado;sisira
Anat;tunquri
Anat;thixni
Anat;lluqu
Anat;ñaqi
Anat;q’uxu
Anat;lunqhu
Anat;uquti
Anat;q’uruta
Anat;märi
Anat;uqhututu
Anat;chinqi
ancestro;l’aqa achachila
Ancho;Thatha
Ancho;phumphu
Anchura;tara
Anciana;tayka
Anciana;taykali
Ancianidad;chuymanïña
Anciano;yäla
Anciano;yasq’a
Anciano;awkili
Anciano;awki
anciano (despectivo);awki
anciano sabio y justo;chuymani
ancla;chhijiya
Ancla;chinu
Ancla;Chinu qala
Ancuta;casa blanca
Anda compra pan;T’ant’a aliri saram
Anda llam a a tu papá;Tatamar jawsanim
Anda llam a, comeremos;Jawsanim manq’asiñani
Anda pues hermana;Sarxamay Kullaka
Andar;Sarnaqaña
Andar de rodillas;killpiña
Andar en direccción chueca formando un semicírculo;qiwiña
Andar lento y pesadamente;kapaña
Andar muy despacio;ñujñuña
Andarín;Sarnaqiri
Andino;suninkiri
Andrajo;thantha
Andén;taqana
Anegar;qarpantaña
Anemia;larpha
Anexar;Apkataña
Angosto;k’ullk’u
Angustia;llaki
Angustiado;Llakita
Angustiarse;Llakisiña
Anhelar;amaña
Anidar;tapachaña
Anilina;tiñiñ
anillo;siwi
Anillo;sini
Anillo;surtija
Animal;Laq’u
Animal;uywa
Animal con cuernos muy cortos;muti
Animal estéril;tayksuri
Animal macho con un testículo;chipuna
animal o feto de animal que se sacrifica al iniciar una construcción;kuchu
Animal o persona de estatura pequeña;t’ili
Animal que por falta de alimento creció poco;chuqullt’ata
Animar;ch’amachaña
Ano;jamaña
Ano;Murk’a
Anoche;wasärma
Anoche;Jichha aruma
anochecer;chhapthapi
Anochecer;sujsthapiña
Anochecer;arumthapi
Anochecer;Arumt’aña
Anochecer el día;arumt’aña
Anochecer el día;aramt’aña
Anomalía anatómica en las crías de ovino o vacuno donde el ombligo pasa por el hígado;k’iwcha
Anormal;Jan wakiskiri
Ansiar;munt’aña
Ansiar;q’awtaña
Antaño;nayra
Antaño;Nayra pacha
antaño o años atrás;khurimara
Anteanoche;warärma
anteanoche;walarma
Anteayer;walüru
Anteayer;warüru
Anteayer al anochecer el día;walayp’u
Anteayer en la noche;walärma
Anteayer por la mañana;walärmanthi
Antebrazo;Nayräx ampara
Anteceder;Nayrt’aña
Antecesor;Achachila 
Antelación;nayrt’a
Anteojo;linti
Antepasado;laq’a
Antepasado;Laq’a achachila
antes;nayra
Antes;niyjsa
Antes de media mañana;urja
Antes vivía en la ciudad de El Alto;Nayrax El Alto markan jakayätha
Anticipar;nayrt’ayaña
Antigua ropa de vestir de la mujer andina;axsu
Antiguamente;aski
Antiguamente;Aski nayra
antiguamente;nayrapacha
Antiguo;jayani
Antiguo pueblo del tahuantinsuyo donde habitaban los señoríos “lupaqas y paka jaqis”;Qullasuyu
Antigüedad;Nayra pacha
Antojar;millphaña
Antojarse;Munaña
Antojarse de alguna cosa;muq’iña
Antojo;antuju
Antorcha;nina
Antorcha;Nina wiya
Antro;Chinkana
Antropología;jaqit
Antropología;jaqi
Antropología;Jaqi kamana
Antónimo;aru
Antónimo;Awqa aru
Anual;Marpacha
Anudar;Chinuña
Anuncio;Yatiyawi
Anverso;Nayräxa
Anzuelo;sillquña
Anécdota;sarnaqawit
Anécdota;Sarnaqawit amtasiña
Anónimo;sututu
Aovar;k’awnaña
Apabullar;Amukt’ayaña
Apacentar;awatiña
Apacible;Llamp’u chuymani
Apacible;llamp’u
Apaciguar;inamukuña
Apadrinar;Ichuña
Apagar;jiwt’ayaña
Apalear;Jawq’aña
Apalear;jawq’jaña
Apartarse;jithiqaña
Aparato digestivo ;ñut’uri
Aparear;Katuyaña
Aparecer;uñstaña
Aparecido;uñstata
Aparejo de palos donde se colocan las tinas para evitar que se rompan;asanka
Apariencia;Uñnaqa
Apartar;Jaljtayaña
Apartar a un niño de su mamá o una cría de la madre o de la tropa;irpaqaña
Apartar o poner en discordia a los amigos;jut’iña
Apartar una cría de vaca de su madre para ordeñar la leche;alisuqaña
Apartarse;Jithiqaña
Apartarse en los animales la madre de su cría por haber intervenido la mano humana;jalaraña
Apearse;Saraqaña
Apedrear;qaliyaña
Apegarse;jitkataña
Apellido;Qhipa suti
Apellido;qhipa
Apelotonar;qulluchaña
apenado;khuyaña
Apenarse;Llakisiña
Apenas;ñaka
Apestoso;Thujsa
Apetito;Manq’at awtjata
Apetito;manq’at
Apilar;phinaña
Apisonar;taksuña
apiña;apiña
Apiñar;qutthapiña
Apiñar;nukhthapiña
aplanar;pampachaña
Aplanar;t’alpjaña
Aplastado;t’alpjata
Aplastar;q’upt’aña
Aplastar;ñit’jaña
Aplaudir;t’axlliraña
Aplaudir;p’aqaraña
Aplazar;qhipaqayaña
Apocar;juk’aptayaña
Apocarse;qhulthapiña
Apodo;Ñanqha suti
Apodo;ñanqha
Apolillar;thuthantaña
Apolillarse;kharuntaña
Aporcar;qawaña
Aporcar la papa con la yunta;pillchaña
Aporrear;Jawq’xaña
Aportar;suk’aña
Apostar;apustaña
Apostema;Ch’upu
Apoyar;Yanapaña
Apoyarse;thurt’asiña
Aprecio;Munasiña
Apremiar;Jank’achaña
aprender;yatiqaña
Aprestar;Wakiyaña
Apresurar;Ratuchaña
Apretado;mat’i
Apretar;q’apthapiña
Apretar;ñiqiña
Apretar;limthapiña
Apretar con la mano;q’apiña
Apretar la trama del tejido con la “wich’uña”;wich’kataña
Aprisco;Uyu
Aprisionar;jist’antaña
Aproximación;jak’achaña
Apuesto;Jiwa uñnaqani
Apuesto;jiwa
Apuntalar;tukiyaña
Apurar;jariyaña
Apuñalar;jununuqaña
Apático;Q’ayma
Aqhillt’äña;espantador
Aquel;khaya
Aquella es mi casa;K haya w utaja xa
Aquellos son mis familia res;Khayanakax wi lamasijawa
Aquietar;t’akurayaña
Aquí;akja
Aquí es, ya hemos llegado;Akjawa, purxtanwa
Aquí yo estoy esperando a mi hermanita;Akan nayax kullakitajaruw suyaskt ha
Arable;qhullkaya
arado;arma
Arado de mano constituido por una estaca de madera dura en cuyo extremo inferior se sujeta la reja y lleva un par de travesaños ensamblados que sirve de pisadera;wiri
arar;qhulliña
Araña;kusi
Araña;Kusi kusi
araña;kusikusi
Arañar;jat’iña
Arañazo;jat’irata
Arboleda;Quqa quqa
Arboleda;quqa
arbusto;qura
Arbusto con abundantes flores amarillas que crece cerca a las carreteras o en lugares pedregosos;qariwa
Arbusto con abundantes flores amarillas que crece cerca a las carreteras o en lugares pedregosos;waych’a
Arbusto gigante de ramas rectas y erguidas de zonas mesotérmicas;kutu
Arbusto medicinal de las montañas altiplánicas;chachakuma
Arbusto que alcanza hasta dos metros de altura sus hojas son empleadas en la alimentación;kullisa
Arcilla;llink’i
arcilla;k’ink’u
Arcilla;ñink’u
Arcilla calcárea comestible;phasa
Arco iris;kurmi
arco y flecha;mich’i
arcoíris;kürmi
arcoíris blanco que aparece en lugares húmedos y causa enfermedad;kutukutu
arcoíris que al ser señalado con el dedo puede provocar su pudrición;kürmi
Arder;aqaña
Arder;nakhaña
Arder la piel;japuña
ardor;ch’isi
Arduo;Ch’ama
arena;ch’alla
Arete;sarsillu
aretes;phaluchi
Arisco;Uri
Arkthapiña;ñarse
armadillo;khirki
Armadillo;khirkhi
Armadillo;kirkinchu
armadillo;khirkhinchu
armazón de varas para sostener el techo;kira
Arnez de lana hilada para tejer en telares de cuatro estacas u en telar de bayeta;illawa
Aro;qhatha
Aro;muyuli
aroma;q’aphi
Aromatizar;Q’uphichaña
Arpón;maxa
Arraigar;saphiña
Arrancar;wikhsuña
Arrancar;jik’iña
Arrancar;t’aqaña
Arrasar;Pampachaña
Arrastrar;qatatiña
Arrastrar la ropa;kaychuña
Arrastrarse;Jithiña
Arrear;anakiña
arrear animales;anakiña
Arrear el ganado;antuña
Arrear el ganado de un lugar hacia otro;antaña
Arrear una cantidad de ganado hacia lugar de bajada o apartándola;anaqaña
Arrebatar;wayuraña
Arrebatar;inkuraña
Arrebatar;asaraña
arrebatar;aparaña
Arrebatar;anaraña
Arrebatar;ayaraña
Arrebol;Anta
arrebol;antawara
Arremangar;llint’kataña
Arremangarse;llint’katasiña
Arrendar;arintjaña
arriba;alaya
arriba;alaxa
Arrimarse;thijmt’asiña
Arrimarse;qimisiña
Arrinconar;k’uchunchaña
Arrodillar;killt’ayaña
Arrodillar;killiyaña
Arrodillarse;killiña
Arrodillarse;killt’aña
arrojar;jaquña
Arrojar;jaqt’aña
Arrojar barro o masa con las manos;t’alaña
